name,address,lat,lng,id,place_id,price_level
Gael Pub,"1465 3rd Avenue #1, New York",40.7766075,-73.9553791,e0a2d0c1f7db06b74eaec15348162907f6a6b9ea,ChIJY2VmPLxYwokRZiHHZYi-cyg,2
Jacques,"206 East 85th Street, New York",40.7778512,-73.954122,ef8ab6dd0bf9b380678fbc6e4ea25152d4127761,ChIJ_WE-fLxYwokR-5CBMAKtKRg,2
Highlands Cafe Restaurant,"1505 3rd Avenue, New York",40.7779543,-73.9543599,25c2ec8c2ee0ed301b15fc6e768a25ee424139cb,ChIJkYm8fLxYwokR23jZB6UPlOU,2
Brasserie Magritte,"1463 3rd Avenue, New York",40.7765445,-73.9554011,faffd208a18995094674befd8fe3c819a02ad949,ChIJuUKbPLxYwokRbDSS61rbSZw,2
Mad River Bar & Grill,"1442 3rd Avenue, New York",40.7761705,-73.9561948,7bb88f00487defb7702d12a4e6434aab77ba4bd4,ChIJg1d_f-D1wokRRV6-bYP1_FY,2
Flex Mussels,"174 East 82nd Street, New York",40.7763184,-73.9564863,811229efb997320cf1d31d2f20671d87cd28d2f4,ChIJt901K7xYwokRDN0HETz2x3s,2
Tandoor Oven,"175 East 83rd Street, New York",40.7771331,-73.9557283,3610f299f833f9bae4343b42e32fb2d5c2cc27ab,ChIJnf8UOLxYwokRtgkly1tqFjI,2
Dylan Murphy's,"1453 3rd Avenue, New York",40.776298,-73.955481,7666a109b780ea956a7e2fbc1c40d86ee16f34c8,ChIJ2dxwJLxYwokRQlAfKMxMftY,2
Our Place Cuisines of China,"1444 3rd Avenue, New York",40.7762095,-73.956109,34419177964a1943e2756c8b379870c045db1d3b,ChIJOWtBKbxYwokR7zKjgyXkO8M,2
Amai,"1444 3rd Avenue, New York",40.7762618,-73.9561896,b583004f805c6c3384115c542f1a70ea024f11ca,ChIJ6cM5KbxYwokRPaUGnCkG-hY,2
Antonucci Cafe,"170 East 81st Street, New York",40.7757269,-73.9569411,a1c557ea9853b4bbda021e6869221d7859c838ed,ChIJmQKjfr5YwokRxETZofFe5hc,2
Dulce Vida Cafe And Restaurant,"Between 82-83 St, 1219 Lexington Avenue, New York",40.777137,-73.957094,5390eebfc009d654b37534ac69facfded893b484,ChIJH6iryb1YwokRBefni1QEp9Y,2
Pizza Beach,"1426 3rd Avenue, New York",40.7756249,-73.9566725,de2ac74339de16d19420effb0917a02291380424,ChIJu3mvh75YwokRFvNXplc35To,2
Pig Heaven,"1420 3rd Avenue, New York",40.7754146,-73.9567931,9d4a8b814995f470b0bc119c1513d6c106500b2b,ChIJV85Oz75YwokREEwM6yxMNtk,2
Amber,"1406 3rd Avenue, New York",40.7749617,-73.957099,b4f5c01aa0e8c8ad9d17fc265c89cd9a8151958c,ChIJ82YUZ75YwokRKEOXtHv0eo0,2
Tiramisu,"1410 3rd Avenue, New York",40.7751296,-73.9569184,f5f443b9892bb065126eb68e66460cff5173f222,ChIJcV9QYb5YwokR5onE4zjFoq8,2
Lukes Bar & Grill,"1394 3rd Avenue, New York",40.7746365,-73.957347,212b93d8d5a1ade5f329b846f85a034491052e40,ChIJ8cZGQ75YwokREig1SG7_h68,2
Beyoglu,"1431 3rd Avenue, New York",40.7754057,-73.9561835,3db48e844392a0f19524d0ab0d3e9f0e883e51f3,ChIJpZ1Nhr5YwokRRzfAGTmdREI,2
Lorenzo & Maria's Kitchen,"1418 3rd Avenue, New York",40.7753391,-73.9568299,0f81feba5ce570b0e1de733d6ed6ce00136a92fa,ChIJNQ4eY75YwokRcXh3YaPDYoE,2
Francela,"1429 3rd Avenue, New York",40.7753337,-73.9562172,5fa672d06c43e63bc392869ff2d60da2ee6d4e42,ChIJd7iyiL5YwokRe8l3szNnq6o,2
Pastrami Queen,"1125 Lexington Avenue, New York",40.7742991,-73.9591105,b06cb181084babec4e4972b03389d2d1f8745906,ChIJRdfQLr5YwokRPG1c3y-4zJ4,2
Shanghai Pavilion,"1378 3rd Avenue, New York",40.7739015,-73.9578089,f0a83c6b5dcdbc6f44100c96e341a972d83ab28e,ChIJHwJoSr5YwokR1NlFy9FTnsA,2
Don Filippo Restaurant,"1133 Lexington Avenue, New York",40.7745592,-73.9589129,97e573fc2e3961214e918b190430dd51537b7f2f,ChIJ5Qe7Jb5YwokRCxZzLKCneyQ,2
Farinella,"1132 Lexington Avenue, New York",40.7746955,-73.9592632,eefcc655ad9d77b6765c5f7529a6730e050a5bcd,ChIJPXdaJr5YwokRTr3KIQqh4Ug,2
Lenox Hill Grill,"1105 Lexington Avenue, New York",40.7737643,-73.9595848,e5bc2354ce2fef1ecd3704bb4a42d16e67f92e87,ChIJ8yRFfpVYwokRYbB9GcQCllc,2
Caf? Carlyle,"35 East 76th Street, New York",40.7743259,-73.9630662,375109112e2a299b11750f7ec41b33ee0489dcb0,ChIJEQ6D9pRYwokR8M_uqv0O4bE,2
The Mark Restaurant,"25 East 77th Street, New York",40.775269,-73.9633901,87d7dc394b76236ae53be3e74165b63a841db634,ChIJfWXlRJRYwokRDVC38TjhdGU,2
Three Guys Restaurant,"960 Madison Avenue #1, New York",40.7741104,-73.9640164,e3f59f772877a37ec0021404afc971478a389848,ChIJaeIHjZRYwokRyAKp5S2vpe0,2
Serafina Fabulous Pizza,"1022 Madison Avenue, New York",40.7762535,-73.9623885,1d4f43f0a84ff703cd41da3a3623f54b3770264e,ChIJj7xBzZVYwokRZ9y7hcx3III,2
Nectar Coffee Shop,"1022 Madison Avenue # 1, New York",40.7761324,-73.9624716,ae2bc00c9917df3d1a933443283de7b94a9233ba,ChIJj7xBzZVYwokRonc6HMCosAk,2
E.A.T.,"1064 Madison Avenue, New York",40.7773517,-73.9616712,0d64df0c84acb57aa64c715ca9db61c921f885a9,ChIJ8aQDcJZYwokRyPVIfqjkazY,2
Food Passion Catering,"1200 Lexington Avenue, New York",40.7766333,-73.9579528,1b4fba3e127e062c915b71fe0341bf42e4f1b8ee,ChIJp3023L1YwokRB9r7wTjKhaw,2
Gina la Fornarina,"1575 2nd Avenue, New York",40.7752028,-73.9539789,c4691663f3a39983ff0f16d680190930354b68a5,ChIJ20HKrb5YwokRb9ZBjfvSOnA,2
Luke's Lobster,"242 East 81st Street, New York",40.7746864,-73.9545579,1f9dc55bbfec5bc0f6cc29a0f9a79458fa5fd3de,ChIJ8YYpur5YwokRW4TXrqxT-1k,2
Eighteen Restaurant,"240 East 81st Street, New York",40.7747444,-73.9546225,4832d7dfb8a192c4820e64c7cb456995b1dbe815,ChIJbQYrur5YwokRGrkyjinbNQc,2
