ID,County,Income_Avg,Rent_Median,Population
36005022702,Bronx,40771,932,1525
36005022703,Bronx,50951,1167,1871
36005022800,Bronx,53507,1278,6156
36005022901,Bronx,36736,1033,5184
36005022902,Bronx,30076,1042,3262
36005023000,Bronx,52978,1234,3340
36005023100,Bronx,34339,1156,1594
36005023200,Bronx,67200,1248,2772
36005023301,Bronx,34396,1078,4378
36005023302,Bronx,33804,1157,3247
36005023501,Bronx,44920,1127,3514
36005023502,Bronx,33515,1017,4652
36005023600,Bronx,46205,1289,2206
36005023702,Bronx,35701,1085,1345
36005023703,Bronx,39405,1146,4919
36005023704,Bronx,30336,1128,3702
36005023800,Bronx,56263,1475,2628
36005023900,Bronx,36251,1076,8347
36005024000,Bronx,45682,1322,4244
36005024100,Bronx,31566,1052,6421
36005024300,Bronx,27842,972,5685
36005024400,Bronx,73932,1324,2588
36005024501,Bronx,36408,993,5085
36005024502,Bronx,31196,877,3669
36005024600,Bronx,88214,1176,2198
36005024700,Bronx,49750,1181,1856
36005024800,Bronx,86173,1378,3544
36005025000,Bronx,69695,1332,2817
36005025100,Bronx,40216,998,6246
36005025200,Bronx,70329,1253,2549
36005025300,Bronx,38081,1104,5970
36005025400,Bronx,59740,1206,1959
36005025500,Bronx,30524,1088,5764
36005025600,Bronx,57272,1271,1727
36005025700,Bronx,32596,1050,1661
36005026100,Bronx,78581,1069,1710
36005026300,Bronx,36619,1173,6412
36005026400,Bronx,91055,1543,5911
36005026500,Bronx,46939,1050,6914
36005026601,Bronx,58724,1226,2911
36005026602,Bronx,60462,1121,5488
36005026701,Bronx,44602,1166,3439
36005026702,Bronx,46083,1141,6206
36005026900,Bronx,43941,999,3318
36005027300,Bronx,45997,1157,8429
36005027401,Bronx,88541,1539,4723
36005027402,Bronx,83817,1517,3754
36005027700,Bronx,42598,1021,5591
36005027900,Bronx,64630,1266,6985
36005028100,Bronx,64985,1042,3940
36005028300,Bronx,40622,680,3390
36005028500,Bronx,55167,1265,3079
36005028600,Bronx,59199,1375,1225
36005028700,Bronx,76814,1328,3489
36005028800,Bronx,91303,1390,3496
36005028900,Bronx,61706,1223,4027
36005029301,Bronx,157022,1299,2037
36005029302,Bronx,120329,1889,5471
36005029500,Bronx,103565,1653,4603
36005029600,Bronx,61880,1210,1842
36005029700,Bronx,110059,1549,3971
36005030000,Bronx,68437,1228,5751
36005030100,Bronx,115913,504,1367
36005030200,Bronx,63945,973,9914
36005030701,Bronx,123490,1742,5283
36005030900,Bronx,131412,1743,3945
36005031000,Bronx,110683,1897,4863
36005031200,Bronx,85296,1538,2124
36005031400,Bronx,113858,1109,2336
36005031600,Bronx,80632,1637,1996
36005031800,Bronx,74868,1763,2374
36005032300,Bronx,91789,1187,4489
36005032400,Bronx,42035,584,2798
36005032600,Bronx,74295,1406,3573
36005032800,Bronx,47546,969,4354
36005033000,Bronx,44414,1064,5744
36005033201,Bronx,53017,1139,3861
36005033202,Bronx,44369,1112,3908
36005033400,Bronx,51142,1217,1329
